,CO_MUNICIPIO,NO_MUNICIPIO,AFD_INF_12,AFD_FUN_12,AFD_MED_12,ATU_INF,ATU_AF,ATU_EM,HAD_INF,HAD_AI,HAD_EM,MEDIA_INSE,IED_1,IED_2,IED_3,IED_4,IED_56,IRD_0A2,IRD_2A3,IRD_3A4,IRD_4A5,TDI_FUN,TDI_MED,REGIAO
189,3516606.0,Gália,96.0,76.5,53.0,15.9,20.9,20.2,7.8,6.7,6.6,5.16,28.2,0.0,37.0,30.4,4.4,0.0,0.0,66.7,33.3,2.7,11.9,SP - Capital
190,3516705.0,Garça,89.0,81.0,62.0,18.3,25.7,26.5,7.3,6.4,6.1,5.29,22.2,13.5,27.3,27.9,9.1,13.2,50.0,26.3,10.5,3.6,8.9,SP - Capital
191,3516804.0,Gastão Vidigal,85.0,72.1,50.0,14.5,20.6,25.8,6.2,6.6,7.0,5.12,26.7,40.0,30.0,0.0,3.3,0.0,33.3,33.3,33.4,1.6,5.8,SP - Capital
192,3516853.0,Gavião Peixoto,96.0,90.7,64.3,13.3,18.3,23.3,7.3,7.6,7.5,5.22,12.1,24.1,37.9,20.7,5.2,0.0,50.0,25.0,25.0,1.4,3.6,SP - Capital
193,3516903.0,General Salgado,92.0,75.5,61.5,15.9,18.7,31.4,8.0,5.3,9.0,5.39,28.5,22.0,29.7,18.7,1.1,50.0,33.3,8.3,8.4,4.0,5.7,SP - Capital
194,3517000.0,Getulina,60.9,70.8,44.0,16.7,22.1,25.0,5.8,5.2,8.8,5.08,19.0,14.5,30.4,30.4,5.699999999999999,37.5,37.5,25.0,0.0,7.4,9.3,SP - Capital
195,3517109.0,Glicério,97.6,89.7,42.9,14.6,19.1,33.3,8.6,7.1,9.0,5.3,29.0,5.3,28.9,26.3,10.5,0.0,20.0,40.0,40.0,3.3,2.0,SP - Capital
196,3517208.0,Guaiçara,78.0,79.7,63.4,16.0,23.9,26.2,6.8,5.8,4.8,5.25,22.1,8.7,23.1,31.7,14.399999999999999,12.5,50.0,37.5,0.0,5.3,17.7,SP - Capital
197,3517307.0,Guaimbê,66.7,81.4,46.6,19.4,25.6,25.3,8.6,6.9,5.6,5.27,30.5,16.7,36.1,13.9,2.8,0.0,0.0,100.0,0.0,3.1,10.3,SP - Capital
198,3517406.0,Guaíra,48.7,72.9,60.4,12.2,22.7,27.1,8.4,5.7,5.5,5.28,19.1,4.9,32.1,35.2,8.7,0.0,20.0,72.0,8.0,3.4,11.9,SP - Capital
199,3517505.0,Guapiaçu,49.6,79.9,61.0,15.4,22.1,30.8,7.9,5.2,5.0,5.33,39.7,16.3,19.9,16.3,7.8,30.0,40.0,30.0,0.0,8.8,25.0,SP - Capital
200,3517604.0,Guapiara,76.6,54.4,52.0,13.5,19.5,23.2,5.1,5.5,6.5,4.79,37.3,14.8,9.5,27.2,11.2,20.7,55.2,20.7,3.4,1.2,3.9,SP - Capital
201,3517703.0,Guará,54.5,79.8,50.8,12.9,18.9,31.8,7.8,5.6,8.0,5.22,16.5,15.9,31.8,27.2,8.6,0.0,5.6,50.0,44.4,3.9,6.5,SP - Capital
202,3517802.0,Guaraçaí,56.9,74.8,51.3,12.2,18.9,28.1,6.8,5.3,5.3,5.42,26.1,5.8,24.6,34.8,8.7,0.0,42.9,57.1,0.0,3.2,7.6,SP - Capital
203,3517901.0,Guaraci,63.1,72.7,51.2,15.5,22.0,34.2,8.7,5.5,5.6,5.18,27.6,9.2,26.2,27.7,9.3,0.0,0.0,71.4,28.6,3.8,5.5,SP - Capital
204,3518008.0,Guarani d'Oeste,81.8,78.4,57.1,11.6,18.9,15.0,7.9,8.4,9.1,5.28,8.0,24.0,56.0,12.0,0.0,0.0,50.0,0.0,50.0,3.4,6.7,SP - Capital
205,3518107.0,Guarantã,49.2,73.1,61.7,15.4,25.2,17.2,7.0,6.7,7.7,5.15,15.5,3.8,44.2,26.9,9.6,16.7,83.3,0.0,0.0,6.6,10.7,SP - Capital
206,3518206.0,Guararapes,86.3,78.5,65.2,13.6,26.4,30.4,5.9,6.1,7.1,5.28,8.5,13.0,41.0,33.0,4.5,0.0,0.0,42.3,57.7,3.2,2.8,SP - Capital
207,3518305.0,Guararema,96.2,82.9,53.3,10.6,23.0,23.9,5.7,5.6,5.7,5.31,31.2,11.2,34.4,19.6,3.5999999999999996,12.9,61.3,22.6,3.2,2.9,7.1,SP - Capital
208,3518404.0,Guaratinguetá,73.9,76.8,67.10000000000001,17.2,22.2,27.4,6.3,5.8,6.5,5.35,22.5,17.9,23.1,27.1,9.4,4.9,48.8,32.9,13.4,5.0,12.1,SP - Capital
209,3518503.0,Guareí,41.6,54.3,67.0,13.0,22.4,30.0,6.5,6.2,5.8,5.19,33.5,12.6,33.3,19.5,1.1,9.1,18.2,27.3,45.4,6.9,8.4,SP - Capital
210,3518602.0,Guariba,65.5,90.9,62.9,16.5,20.5,29.4,7.1,5.1,5.6,5.17,31.4,6.3,23.9,29.0,9.4,6.9,51.7,31.0,10.4,2.9,9.0,SP - Capital
211,3518701.0,Guarujá,62.9,73.1,56.5,18.9,27.3,32.6,6.9,5.0,5.1,5.07,9.2,24.1,25.4,31.5,9.8,14.3,43.5,39.6,2.6,5.7,12.9,SP - Capital
212,3518800.0,Guarulhos,81.3,79.6,68.7,18.6,27.6,30.0,6.9,5.6,5.4,5.23,7.5,27.0,30.1,28.1,7.3,6.9,57.2,32.2,3.7,3.5,8.5,SP - Capital
213,3518859.0,Guatapará,36.5,81.4,60.9,12.1,16.1,25.4,5.4,5.5,7.1,5.21,31.8,3.3,23.3,30.0,11.600000000000001,0.0,28.6,57.1,14.3,7.6,14.5,SP - Capital
214,3518909.0,Guzolândia,39.6,85.5,45.5,11.7,20.1,26.0,6.7,6.0,6.6,4.98,31.5,18.4,21.1,21.1,7.9,0.0,25.0,75.0,0.0,4.0,8.0,SP - Capital
